counter,time,open,high,low,close,tick_volume,spread,real_volume
192,1739919600,2933.36,2934.88,2933.21,2933.73,391,11,0
193,1739920500,2933.94,2934.24,2933.15,2933.36,272,0,0
194,1739921400,2933.34,2935.36,2933.07,2935.28,209,3,0
195,1739922300,2935.55,2936.47,2934.85,2935.96,199,17,0
196,1739926800,2934.84,2935.56,2934.57,2934.84,136,0,0
197,1739927700,2934.84,2935.03,2933.39,2933.65,189,2,0
198,1739928600,2933.53,2934.22,2933.1,2933.94,236,8,0
199,1739929500,2933.84,2934.55,2933.18,2934.07,226,2,0
200,1739930400,2934.07,2934.38,2932.44,2932.44,309,10,0
201,1739931300,2932.43,2933.47,2932.11,2933.46,354,1,0
202,1739932200,2933.27,2933.84,2932.24,2932.24,342,8,0
203,1739933100,2932.16,2932.16,2928.52,2929.16,450,0,0
204,1739934000,2928.73,2933.14,2927.68,2932.64,991,0,0
205,1739934900,2932.63,2932.63,2930.42,2931.56,816,0,0
206,1739935800,2931.41,2936.21,2931.22,2935.95,993,2,0
207,1739936700,2935.95,2939.54,2935.49,2938.29,1097,5,0
208,1739937600,2938.26,2939.38,2936.06,2936.92,1023,2,0
209,1739938500,2936.92,2938.75,2936.04,2936.04,776,4,0
210,1739939400,2936.06,2936.15,2931.86,2932.25,983,8,0
211,1739940300,2932.25,2932.33,2924.17,2929.09,1181,3,0
212,1739941200,2929.2,2929.31,2924.87,2928.7,1048,9,0
213,1739942100,2928.72,2930.35,2927.27,2928.29,921,11,0
214,1739943000,2928.52,2930.5,2928.19,2929.94,821,11,0
215,1739943900,2929.81,2929.99,2928.24,2928.89,713,11,0
216,1739944800,2928.82,2929.5,2927.46,2927.64,595,8,0
217,1739945700,2927.64,2929.07,2927.41,2927.86,651,11,0
218,1739946600,2927.86,2928.8,2926.49,2928.73,577,5,0
219,1739947500,2928.67,2929.5,2927.68,2929.2,718,0,0
220,1739948400,2929.28,2930.34,2928.31,2928.65,601,9,0
221,1739949300,2928.51,2929.64,2928.09,2929.17,697,7,0
222,1739950200,2929.24,2932.37,2929.21,2931.29,822,8,0
223,1739951100,2931.29,2934.33,2931.19,2932.77,829,10,0
224,1739952000,2932.61,2935.78,2932.5,2935,898,5,0
225,1739952900,2935.01,2935.75,2933.11,2934.94,795,11,0
226,1739953800,2934.94,2935.12,2931.72,2932.98,756,8,0
227,1739954700,2933,2933,2930.63,2931.67,750,4,0
228,1739955600,2931.54,2934.3,2930.19,2934.22,859,5,0
229,1739956500,2934.21,2935.85,2933.39,2934.51,908,3,0
230,1739957400,2934.52,2935.17,2932.32,2933.53,775,2,0
231,1739958300,2933.82,2935.52,2933.5,2934.26,635,4,0
232,1739959200,2934.24,2937.42,2933.85,2937.42,872,3,0
233,1739960100,2937.3,2939.42,2936.8,2939.24,1053,0,0
234,1739961000,2939.24,2940.09,2938.18,2938.29,826,2,0
235,1739961900,2938.29,2938.57,2936.37,2938.56,1110,9,0
236,1739962800,2938.64,2939.73,2938.16,2939.57,678,5,0
237,1739963700,2939.53,2946.53,2939.4,2945.91,1116,0,0
238,1739964600,2945.91,2946.27,2942.71,2944.49,883,5,0
239,1739965500,2944.47,2946.31,2943.47,2945.47,821,5,0
240,1739966400,2945.56,2947.06,2942.7,2942.96,947,0,0
241,1739967300,2942.86,2945.64,2942.7,2944.15,936,6,0
242,1739968200,2944.06,2945.4,2943.65,2945.1,960,7,0
243,1739969100,2945.17,2945.5,2943.91,2944.77,499,11,0
244,1739970000,2944.77,2946.01,2942.93,2943.59,915,11,0
245,1739970900,2943.58,2944.55,2943.32,2943.46,744,11,0
246,1739971800,2943.46,2944.64,2940.1,2941.3,1017,1,0
247,1739972700,2941.3,2941.79,2934.19,2934.91,1022,0,0
248,1739973600,2934.96,2935.26,2931.07,2934.61,1160,0,0
249,1739974500,2934.68,2936.09,2932.85,2933.63,933,2,0
250,1739975400,2933.59,2936.64,2932.93,2935.98,994,2,0
251,1739976300,2935.98,2936.7,2933.25,2933.63,1035,4,0
252,1739977200,2933.56,2941.65,2932.66,2940.18,1290,1,0
253,1739978100,2940.09,2940.59,2937.25,2939.22,1223,3,0
254,1739979000,2939.88,2941.45,2937.7,2940.57,1129,10,0
255,1739979900,2940.36,2941.44,2932.55,2936.32,1313,1,0
256,1739980800,2936.34,2939.7,2935.06,2939.13,1296,3,0
257,1739981700,2939.09,2939.21,2930.29,2933.68,1434,2,0
258,1739982600,2933.96,2937.89,2931.31,2936.23,1537,0,0
259,1739983500,2936.12,2940.63,2935.69,2938.14,1460,3,0
260,1739984400,2937.99,2938.72,2935.18,2935.61,1386,0,0
261,1739985300,2935.52,2938.46,2933.06,2935.23,1302,4,0
262,1739986200,2935.2,2939.25,2935.11,2935.94,1221,4,0
263,1739987100,2935.99,2935.99,2925.42,2925.42,1369,4,0
264,1739988000,2925.59,2930.88,2923.02,2927.88,1483,0,0
265,1739988900,2927.87,2928.97,2925.04,2927.05,1278,1,0
266,1739989800,2927.22,2929.4,2923.5,2928.87,1272,0,0
267,1739990700,2928.96,2929.13,2927.21,2928.07,1932,11,0
268,1739991600,2928.08,2929.65,2926.86,2928.76,1626,11,0
269,1739992500,2928.76,2929.85,2926.58,2927.74,1540,10,0
270,1739993400,2927.74,2927.76,2922.47,2922.86,1936,9,0
271,1739994300,2922.69,2925.03,2921.46,2923.85,1825,10,0
272,1739995200,2923.86,2923.86,2920.58,2920.58,1991,14,0
273,1739996100,2920.64,2923.21,2918.54,2919.92,2314,14,0
274,1739997000,2919.81,2925.07,2919.14,2924.92,1769,14,0
275,1739997900,2924.92,2926.7,2924.17,2924.9,1727,14,0
276,1739998800,2924.79,2927.14,2923.34,2926.92,1699,14,0
277,1739999700,2926.91,2930.67,2926.59,2929.49,1825,14,0
278,1740000600,2929.51,2929.9,2928.6,2929.62,1485,14,0
279,1740001500,2929.62,2932.36,2929.09,2931.75,1537,14,0
280,1740002400,2931.73,2933.41,2931.4,2932.71,1589,14,0
281,1740003300,2932.71,2934.82,2932.24,2934.38,1544,14,0
282,1740004200,2934.41,2936.58,2934.27,2935,1777,14,0
283,1740005100,2934.94,2936.09,2932.61,2935.81,1908,14,0
284,1740006000,2935.71,2937.45,2935.27,2936.44,963,21,0
285,1740006900,2936.27,2936.42,2934.06,2934.24,746,21,0
286,1740007800,2934.07,2934.5,2932.57,2932.81,502,21,0
287,1740008700,2932.82,2933.42,2932.34,2933.26,336,21,0
288,1740013200,2933.61,2934.55,2933.61,2934.04,198,17,0
289,1740014100,2934.11,2935.78,2934.11,2934.6,368,17,0
290,1740015000,2934.42,2934.59,2933.63,2934.4,255,17,0
291,1740015900,2934.41,2936.27,2934.41,2935.36,466,17,0
292,1740016800,2935.36,2940.19,2935.36,2939.21,932,17,0
293,1740017700,2939.06,2940.09,2938.55,2939.1,585,17,0
294,1740018600,2939.1,2941.23,2939.1,2940.21,712,17,0
295,1740019500,2940.21,2941.26,2939.29,2940.77,959,17,0
296,1740020400,2940.85,2941.94,2939.11,2940.85,1893,17,0
297,1740021300,2940.71,2942.48,2936.55,2936.7,1649,17,0
298,1740022200,2936.69,2937.46,2934.65,2936.79,1797,17,0
299,1740023100,2936.79,2938.27,2935.08,2937.15,1884,17,0
300,1740024000,2937,2937.37,2933.81,2936.26,1699,17,0
301,1740024900,2936.25,2939.45,2935.94,2938.27,1370,17,0
