time,open,high,low,close
1702473300.0,1980.725,1982.345,1979.575,1981.605
1702474200.0,1981.565,1986.648,1981.345,1983.228
1702475100.0,1983.235,1985.345,1981.808,1984.385
1702476000.0,1984.345,1986.045,1982.815,1983.055
1702476900.0,1983.065,1983.975,1981.145,1983.165
1702477800.0,1983.065,1984.185,1981.195,1982.585
1702478700.0,1982.645,1983.445,1981.685,1981.795
1702479600.0,1981.795,1982.915,1978.535,1978.785
1702480500.0,1978.798,1980.795,1978.415,1979.275
1702481400.0,1979.275,1981.225,1978.335,1980.898
1702482300.0,1980.898,1981.975,1980.075,1981.795
1702483200.0,1981.775,1982.415,1980.315,1981.815
1702484100.0,1981.805,1983.665,1981.805,1981.885
1702485000.0,1981.865,1982.525,1980.725,1981.525
1702485900.0,1981.505,1982.445,1980.575,1981.245
1702486800.0,1981.235,1983.475,1981.005,1982.935
1702487700.0,1982.925,1983.455,1981.665,1981.925
1702488600.0,1981.925,1982.895,1981.825,1982.475
1702489500.0,1982.475,1983.085,1981.765,1982.045
1702490400.0,1982.055,1982.245,1980.995,1981.235
1702491300.0,1981.305,1982.825,1981.275,1982.165
1702492200.0,1982.035,1982.058,1979.575,1980.445
1702493100.0,1980.425,1982.215,1980.038,1981.678
1702494000.0,1981.678,2004.805,1981.678,2003.275
1702494900.0,2003.205,2007.935,2001.825,2005.965
1702495800.0,2005.985,2016.205,2002.845,2015.335
1702496700.0,2015.405,2017.355,2011.755,2013.555
1702497600.0,2013.645,2016.155,2012.485,2014.615
1702498500.0,2014.695,2021.255,2014.595,2015.975
1702499400.0,2015.965,2022.135,2015.965,2020.335
1702500300.0,2020.345,2024.275,2017.765,2023.845
1702501200.0,2023.865,2025.935,2021.475,2024.905
1702502100.0,2024.915,2026.285,2023.635,2026.045
1702503000.0,2025.975,2027.435,2024.835,2027.225
1702503900.0,2027.235,2027.648,2026.085,2027.385
1702508400.0,2025.945,2026.954,2023.795,2025.518
1702509300.0,2025.474,2029.785,2024.995,2029.315
1702510200.0,2029.255,2029.255,2025.705,2027.665
1702511100.0,2027.425,2033.025,2027.425,2032.765
1702512000.0,2032.735,2034.365,2030.345,2031.195
1702512900.0,2031.165,2035.215,2030.535,2034.725
1702513800.0,2034.714,2038.095,2034.685,2036.795
1702514700.0,2036.875,2039.175,2036.275,2037.905
1702515600.0,2038.105,2038.125,2030.638,2032.195
1702516500.0,2032.175,2033.035,2030.435,2030.975
1702517400.0,2030.965,2033.735,2030.368,2031.128
1702518300.0,2031.198,2032.798,2029.928,2032.258
1702519200.0,2032.348,2033.298,2030.815,2032.965
1702520100.0,2032.965,2034.598,2032.255,2033.375
1702521000.0,2033.385,2033.385,2030.935,2031.265
1702521900.0,2031.285,2033.028,2030.415,2032.655
1702522800.0,2032.625,2033.785,2031.465,2033.755
1702523700.0,2033.655,2034.805,2032.645,2033.845
1702524600.0,2033.825,2034.295,2031.575,2032.415
1702525500.0,2032.435,2033.035,2030.255,2030.895
1702526400.0,2030.895,2031.785,2030.675,2031.195
1702527300.0,2031.195,2031.995,2030.555,2030.695
